product_order_id,naver_settled_date,정산예정금액
2026030641411941,2026-04-06,142600
2026030939427811,2026-04-06,277456
2026030939427821,2026-04-06,27387
2026032364517651,2026-04-06,70400
2026032486275211,2026-04-06,68940
2026032488827321,2026-04-06,52885
2026032488827331,2026-04-06,9444
2026032489069321,2026-04-06,68995
2026032491502931,2026-04-06,91132
2026032491502941,2026-04-06,101049
2026032561645401,2026-04-06,351778
2026032698224161,2026-04-06,49108
2026032698224171,2026-04-06,9444
2026032612543941,2026-04-06,68940
2026032614982271,2026-04-06,280478
2026032626642231,2026-04-06,94437
2026032884227041,2026-04-06,49108
2026032918841521,2026-04-06,67995
2026032921498911,2026-04-06,49108
2026033080852711,2026-04-06,54774
2026033081041731,2026-04-06,94910
2026033081041741,2026-04-06,47691
2026033048124091,2026-04-06,97271
2026033130073491,2026-04-06,93965
2026033130073501,2026-04-06,52413
2026040142941261,2026-04-06,280007
2026040146484821,2026-04-06,50620
2026040171723781,2026-04-06,330089
2026040176351941,2026-04-06,50394
2026040295253991,2026-04-06,223400
2026030756540681,2026-04-06,199640
2026030756540691,2026-04-06,92927
2026030763218081,2026-04-06,190574
2026030768553771,2026-04-06,102937
2026031860779411,2026-04-06,51941
2026032187811211,2026-04-06,142601
2026032363107841,2026-04-06,54005
2026032363107851,2026-04-06,9644
2026032548371181,2026-04-06,52886
2026032548371191,2026-04-06,4628
2026032577397311,2026-04-06,47737
2026032577397321,2026-04-06,97884
2026032878442811,2026-04-06,50148
2026032878549051,2026-04-06,50148
2026032878549061,2026-04-06,9644
2026032890734671,2026-04-06,92549
2026032890734681,2026-04-06,27387
2026032925994851,2026-04-06,135990
2026032937630981,2026-04-06,94910
2026032937630991,2026-04-06,46747
2026033067987391,2026-04-06,53830
2026040135551581,2026-04-06,50393
2026040135551591,2026-04-06,9444
2026040150368101,2026-04-06,104826
2026040369643661,2026-04-06,69412
2026040369643671,2026-04-06,9444
2026030895526141,2026-04-06,423267
2026030895526151,2026-04-06,56663
2026030815940121,2026-04-06,47267
2026030815940131,2026-04-06,84994
2026030816869271,2026-04-06,98215
2026030816869281,2026-04-06,51942
2026031837506541,2026-04-06,48683
2026031837506551,2026-04-06,93069
2026032044278701,2026-04-06,96327
2026032412034541,2026-04-06,48163
2026032758367321,2026-04-06,98848
2026032758367331,2026-04-06,48701
2026032887406661,2026-04-06,69435
2026033081378321,2026-04-06,94910
2026033081378331,2026-04-06,47691
2026040137778461,2026-04-06,95854
2026040147905091,2026-04-06,50393
2026031081502901,2026-04-08,97648
2026031081502911,2026-04-08,65823
2026031085613701,2026-04-08,277456
2026031019071911,2026-04-08,48268
2026031023630561,2026-04-08,47267
2026032687620091,2026-04-08,95854
2026032687620101,2026-04-08,51469
2026032751442911,2026-04-08,143923
2026032938542971,2026-04-08,49108
2026033057002611,2026-04-08,135990
2026033067571001,2026-04-08,140712
2026033068562001,2026-04-08,67996
2026033122581771,2026-04-08,89999
2026033122581781,2026-04-08,52414
2026033127742631,2026-04-08,92360
2026033129459731,2026-04-08,93965
2026033129459741,2026-04-08,52413
2026040144691651,2026-04-08,50393
2026040152475151,2026-04-08,138351
2026040168014111,2026-04-08,100104
2026040168014121,2026-04-08,9444
2026040214767701,2026-04-08,107659
2026040367553491,2026-04-08,69412
2026040413659841,2026-04-08,100104
2026031138714631,2026-04-09,65184
2026031138714641,2026-04-09,112416
